User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Charge Status,Charge Difference
User_12,Chevy Bolt,85,Station_78,San Francisco,1/1/24 11:00,1/1/24 14:55,22.564929484106763,2.0578886215204486,4.464822629,14.05086135,Evening,Sunday,14.618902372078484,85.85749415419053,194.76380668173775,34.26261127319235,0,DC Fast Charger,Long-Distance Traveler,Correct,71.23859178
User_13,Hyundai Kona,100,Station_16,San Francisco,1/1/24 12:00,1/1/24 13:00,34.256452908516025,3.065584752022803,5.523688619042968,10.972135997218215,Afternoon,Monday,19.20544694977322,51.62648272929986,249.12759651542487,23.662965362338845,0,Level 2,Casual Driver,Correct,32.42103578
User_14,Nissan Leaf,75,Station_327,Houston,1/1/24 13:00,1/1/24 15:54,16.56106432522506,3.5909657181461028,19.769098717557156,37.44185660286842,Morning,Friday,25.775415389763285,69.2012291,159.2316102189639,34.11034863859677,7,Level 2,Commuter,Correct,43.42581371
User_16,Nissan Leaf,100,Station_147,Los Angeles,1/1/24 15:00,1/1/24 17:19,27.354317884610715,2.703286127534274,11.112498841670842,33.093492711055774,Evening,Monday,10.677153729384765,72.40347015226732,247.6594369214761,-8.302136899,1.5352340877952697,DC Fast Charger,Long-Distance Traveler,Correct,61.72631642
User_17,BMW i3,97.68181223,Station_2,New York,1/1/24 16:00,1/1/24 18:02,24.726937680708804,3.4586802787724484,49.40273861566977,17.49480846107398,Evening,Thursday,67.59197091077596,89.94222936485875,237.3064209427689,4.415329619,7,DC Fast Charger,Commuter,Correct,22.35025845
User_18,Hyundai Kona,50,Station_10,Chicago,1/1/24 17:00,1/1/24 20:13,23.824040473705303,0.8482182678183041,6.614280124746195,6.430589211997161,Evening,Friday,57.59519511951953,74.96195034708379,22.00682916343814,18.405709050259357,6,Level 2,Casual Driver,Correct,17.36675523
User_20,BMW i3,50,Station_125,Los Angeles,1/1/24 19:00,1/1/24 20:22,48.48248430757049,2.5809253540076567,45.29143534649799,7.090844200594135,Morning,Wednesday,12.754877571721774,116.0956568894014,243.25576946966927,9.202409891916812,3,Level 2,Long-Distance Traveler,Correct,103.3407793
User_21,Nissan Leaf,50,Station_81,Los Angeles,1/1/24 20:00,1/1/24 22:54,50.27906667357191,3.168872892,30.489960233968674,28.872894608008124,Night,Tuesday,16.545512365179043,77.93632713949575,15.420444595980063,33.980310103059054,3,Level 2,Casual Driver,Correct,61.39081477
User_22,Hyundai Kona,62,Station_485,New York,1/1/24 21:00,1/1/24 22:55,59.13503162,2.9317614950957465,25.603799331857445,34.85323440188442,Evening,Sunday,71.53031213,75.97435158703122,219.62635692143417,-2.755069332,5,Level 1,Commuter,Correct,4.444039457
User_23,BMW i3,75,Station_140,Chicago,1/1/24 22:00,2/1/24 1:02,49.19642958971384,2.5628173042684104,19.194882837079632,14.856131218606723,Afternoon,Saturday,49.02423910950519,64.48187393759193,298.18812231836336,39.95893731677202,4.257936702758294,DC Fast Charger,Long-Distance Traveler,Correct,15.45763483
User_24,Tesla Model 3,100,Station_326,New York,1/1/24 23:00,1/1/24 23:31,68.44712632026376,2.0714292092234388,49.71030696901287,38.406061696059425,Morning,Friday,19.23313912730544,74.00615088095063,280.91546822652094,3.580839953900103,5,DC Fast Charger,Commuter,Correct,54.77301175
User_29,BMW i3,75,Station_129,Los Angeles,2/1/24 4:00,2/1/24 4:35,31.684484586574477,2.4396779381538938,48.64872319079225,25.617103995808733,Afternoon,Friday,34.72763909597674,54.40205038521579,152.25986699080715,20.37856231027433,3,Level 2,Casual Driver,Correct,19.67441129
User_30,BMW i3,75,Station_438,Chicago,2/1/24 5:00,2/1/24 7:58,56.59325685914933,3.153257254972797,45.81173100244055,33.13209178024766,Afternoon,Friday,29.207671702279008,85.00810624066354,186.15573210131024,12.333415373869066,0,DC Fast Charger,Casual Driver,Correct,55.80043454
User_31,Chevy Bolt,100,Station_239,New York,2/1/24 6:00,2/1/24 9:54,19.473800595427143,1.435532787267766,7.043936342279247,36.945272915195176,Afternoon,Wednesday,31.320786979519863,78.05665281794616,152.25986699080715,8.352906076534808,2,DC Fast Charger,Casual Driver,Correct,46.73586584
User_33,BMW i3,100,Station_198,New York,2/1/24 8:00,2/1/24 9:58,16.136238725396332,1.306927271746284,21.517815048554308,26.438194237490425,Evening,Monday,23.603991432132744,88.2000728,35.50388319357353,39.38401391534167,1,Level 2,Casual Driver,Correct,64.59608137
User_34,Tesla Model 3,62,Station_211,Houston,2/1/24 9:00,2/1/24 12:03,60.06708508895625,0.9991001884039166,7.651570046980447,18.034390040505443,Afternoon,Monday,22.881466625938913,51.43427868199236,46.35755886056615,13.991597483206988,1,Level 2,Casual Driver,Correct,28.55281206
User_35,Chevy Bolt,75,Station_402,Houston,2/1/24 10:00,2/1/24 13:32,57.72437946101146,1.8735815970397776,4.485647105,35.50300017025295,Afternoon,Friday,41.87247964240577,79.64797277486439,157.61465400806637,28.429807376567297,1.8091728675018728,DC Fast Charger,Long-Distance Traveler,Correct,37.77549313
User_36,Hyundai Kona,75,Station_390,New York,2/1/24 11:00,2/1/24 14:16,37.374516060783755,2.8916769844807484,18.865801960923783,29.86624992587584,Evening,Tuesday,24.492208584397694,73.38017572592224,76.20353921863803,59.931973865971024,4,Level 1,Commuter,Correct,48.88796714
User_38,Hyundai Kona,75,Station_97,New York,2/1/24 13:00,2/1/24 13:43,73.38661952275571,1.0404523051899732,38.45083190087793,15.882703983823514,Night,Wednesday,49.27538752823665,94.59708190417813,42.09574394400221,33.92957037271362,6,DC Fast Charger,Long-Distance Traveler,Correct,45.32169438
User_40,Nissan Leaf,100,Station_23,Houston,2/1/24 15:00,2/1/24 16:50,68.17785003637414,3.2424460582484915,23.31161908295264,8.498571936835022,Morning,Thursday,17.040420024456118,56.07865100803714,130.37601376208403,-3.191455366,2,Level 2,Long-Distance Traveler,Correct,39.03823098
User_42,Tesla Model 3,100,Station_461,Houston,2/1/24 17:00,2/1/24 18:15,39.398742356080696,2.3977153605176023,20.460364868950172,26.619717748813553,Morning,Saturday,28.252298260726327,96.28709224,111.01653950164392,19.78108389153856,2.941663235080507,Level 2,Commuter,Correct,68.03479398
User_43,BMW i3,85,Station_391,Houston,2/1/24 18:00,2/1/24 20:53,12.049319706245154,1.373881357931789,29.468944357780007,32.04209859904496,Night,Saturday,36.636852158024986,66.97610432369274,83.24522142563875,39.41613092437325,4,Level 1,Commuter,Correct,30.33925217
User_44,Nissan Leaf,48.796482639735174,Station_335,San Francisco,2/1/24 19:00,2/1/24 19:45,77.05360638,3.0302026852302735,8.388039538136447,6.364629693637992,Afternoon,Friday,15.144122471302746,84.34232687,144.01398119262163,22.069470800563764,1,DC Fast Charger,Casual Driver,Correct,69.1982044
User_45,Nissan Leaf,75,Station_44,Los Angeles,2/1/24 20:00,2/1/24 22:29,42.69140537961698,3.296056589144087,5.114613366354828,30.037968888364997,Morning,Wednesday,15.220938965012722,132.95201054959608,49.384266364222384,32.01457653994244,3.680052855954801,Level 2,Long-Distance Traveler,Correct,117.7310716
User_46,Tesla Model 3,62,Station_27,Los Angeles,2/1/24 21:00,2/1/24 22:53,46.80719594482398,3.877992452581901,16.91833198373123,10.608875787751984,Evening,Saturday,49.29876550655081,90.97067522699976,210.17109719106028,-0.039079031,1,DC Fast Charger,Commuter,Correct,41.67190972
User_47,Nissan Leaf,75,Station_282,San Francisco,2/1/24 22:00,3/1/24 1:06,67.47546614008147,2.1051170788531968,49.60079964847686,19.030700212720895,Night,Sunday,63.035941874368895,81.75095350359373,97.45390493,3.194124642496231,5,Level 1,Commuter,Correct,18.71501163
User_48,Hyundai Kona,62,Station_97,Chicago,2/1/24 23:00,2/1/24 23:37,30.710934027103814,1.6336686079712066,6.352661445,18.131831711875755,Morning,Wednesday,76.12005335845825,76.68243090588436,18.934515488450756,27.895176779200867,0,Level 2,Commuter,Correct,0.562377547
User_49,Nissan Leaf,85,Station_463,Los Angeles,3/1/24 0:00,3/1/24 1:57,42.69140537961698,1.743435263200667,14.149666187068805,13.112873665958404,Night,Monday,77.80942281830983,87.94811448093188,212.94034180826677,-4.44667067,1,Level 1,Casual Driver,Correct,10.13869166
User_50,BMW i3,100,Station_36,New York,3/1/24 1:00,3/1/24 3:40,8.713190575944605,2.2095428234972503,49.275345589419594,9.644101413904608,Afternoon,Saturday,27.196196012553663,86.89391764029943,170.47505412270155,5.378079584,6,Level 2,Long-Distance Traveler,Correct,59.69772163
User_51,BMW i3,85,Station_109,San Francisco,3/1/24 2:00,3/1/24 2:48,9.065880815,0.5123781829612861,40.17800199145749,24.501893310078895,Morning,Tuesday,13.873858113381532,93.62842306259267,226.2193631647091,30.69198380180764,2.6163324827383008,DC Fast Charger,Casual Driver,Correct,79.75456495
User_53,BMW i3,50,Station_192,Chicago,3/1/24 4:00,3/1/24 5:35,65.98624912728606,3.3138023577161824,46.27844331315938,18.84961040539716,Morning,Wednesday,17.38966714207173,73.43803962,234.99666157294837,-7.719425911,0,Level 2,Long-Distance Traveler,Correct,56.04837248
User_55,Chevy Bolt,100,Station_185,Houston,3/1/24 6:00,3/1/24 7:55,17.769436409407696,3.3140797633169585,34.45824193725993,9.798498137959154,Evening,Thursday,27.697492486196495,70.51026724863107,166.3114629994677,19.703359179359488,4,DC Fast Charger,Casual Driver,Correct,42.81277476
User_56,Tesla Model 3,76.87610037599295,Station_69,New York,3/1/24 7:00,3/1/24 9:33,50.26893407436542,1.6783584198879236,36.303372348344666,38.94193996256931,Evening,Saturday,13.48827068689701,82.69521185847714,133.99209364319893,3.0428293410416227,0,DC Fast Charger,Casual Driver,Correct,69.20694117
User_58,Nissan Leaf,62,Station_130,Houston,3/1/24 9:00,3/1/24 12:59,77.86372676031044,0.9179022472670976,47.15400980350787,28.30319111612704,Afternoon,Saturday,56.91742176324378,57.46568225034442,129.3894111090679,38.46677944602198,3,DC Fast Charger,Casual Driver,Correct,0.548260487
User_60,Nissan Leaf,100,Station_378,Houston,3/1/24 11:00,3/1/24 12:15,71.28000416235402,2.413754936898993,40.61639923013172,6.744728812226459,Evening,Wednesday,26.156597950855193,89.92458852765273,140.46521317115082,33.05773080632935,5,Level 2,Casual Driver,Correct,63.76799058
User_61,Nissan Leaf,62,Station_97,Houston,3/1/24 12:00,3/1/24 14:22,21.827688177386452,2.082100007126398,26.507123221525298,36.06804149617966,Evening,Tuesday,33.255985091753644,51.50113226723436,48.044387156223145,38.65644395728205,7,Level 1,Casual Driver,Correct,18.24514718
User_63,Hyundai Kona,124.31591138552656,Station_87,Houston,3/1/24 14:00,3/1/24 16:50,46.195137,0.6505075790560018,47.877523557605265,30.86418085784876,Afternoon,Sunday,53.00518532661712,59.90164627311141,25.02725725569419,6.171256709,1,Level 2,Commuter,Correct,6.896460946
User_65,Nissan Leaf,50,Station_119,Los Angeles,3/1/24 16:00,3/1/24 18:42,76.93342189972203,2.1234202003251825,34.17685550275657,34.22830190454739,Night,Friday,27.17461533,92.14463369734484,295.8937220745894,7.9416880917232575,2.5918513275137545,DC Fast Charger,Casual Driver,Correct,64.97001836
User_66,BMW i3,62,Station_208,Houston,3/1/24 17:00,3/1/24 18:46,59.25460166411963,1.2796206959579637,25.603799331857445,12.220438303566691,Night,Thursday,77.03697398688679,91.82927487145972,167.29757277309406,35.27145068625696,7,Level 2,Long-Distance Traveler,Correct,14.79230088
User_67,Nissan Leaf,100,Station_334,San Francisco,3/1/24 18:00,3/1/24 21:04,37.06292777850246,1.6090994326029475,15.230062587672052,37.87533457659361,Morning,Wednesday,7.520444726979813,67.79787265012489,98.14598101957088,16.483705935041975,2,Level 2,Long-Distance Traveler,Correct,60.27742792
User_68,Nissan Leaf,85,Station_413,Los Angeles,3/1/24 19:00,3/1/24 21:30,67.69516175123809,0.8575824648349768,32.97506874142168,13.775619212920864,Afternoon,Saturday,22.48839981099202,86.77766611416524,81.28450037675881,-7.332648304,6,DC Fast Charger,Casual Driver,Correct,64.2892663
User_69,BMW i3,75,Station_154,Los Angeles,3/1/24 20:00,3/1/24 22:37,16.41401693253662,1.702974822474663,25.603799331857445,21.667786643873225,Morning,Sunday,36.950283611109775,77.13616493524884,188.47148981831265,18.53871081800196,7,Level 1,Casual Driver,Correct,40.18588132
User_72,Hyundai Kona,75,Station_67,Houston,3/1/24 23:00,4/1/24 0:36,61.13047583037784,0.947277209,23.281804960483075,37.14898172847161,Evening,Saturday,34.89904374917877,92.35566117,58.85531551787028,7.662649708995332,1,DC Fast Charger,Long-Distance Traveler,Correct,57.45661743
User_73,Hyundai Kona,85,Station_343,Chicago,4/1/24 0:00,4/1/24 2:24,22.88203842151127,1.5694707135750048,29.98922250219449,10.709582024361996,Evening,Thursday,15.67448546968074,96.59770241767578,98.47402709278698,19.213164486767734,3,DC Fast Charger,Commuter,Correct,80.92321695
User_74,Nissan Leaf,59.832726512242694,Station_413,Los Angeles,4/1/24 1:00,4/1/24 2:32,12.894887186031896,0.5815047780490367,40.884098898228984,15.197334165353636,Night,Friday,31.549182203883916,97.46254098173988,183.1712811493433,28.637604322914584,2,Level 1,Long-Distance Traveler,Correct,65.91335878
User_75,Hyundai Kona,85,Station_34,Houston,4/1/24 2:00,4/1/24 4:22,69.16916705566726,2.285242161327478,5.557358509328086,20.76646440802641,Afternoon,Wednesday,41.089044871443264,74.39951852877809,276.57481915586186,20.014324466284243,4,Level 1,Casual Driver,Correct,33.31047366
User_76,Nissan Leaf,50,Station_97,Los Angeles,4/1/24 3:00,4/1/24 5:03,42.69140537961698,3.520690375905822,9.569245073,24.79072323320694,Night,Saturday,51.281403473410386,93.19846283246213,171.89615323236094,-5.27572798,4,Level 1,Commuter,Correct,41.91705936
User_78,BMW i3,75,Station_169,New York,4/1/24 5:00,4/1/24 8:40,31.218889683829406,3.340997592022919,30.02591267156402,17.60489531315022,Afternoon,Monday,39.517616762842984,71.27176463552543,242.48556290631953,39.83142977123109,3,Level 2,Commuter,Correct,31.75414787
User_79,BMW i3,100,Station_151,Houston,4/1/24 6:00,4/1/24 9:55,30.651699818598622,1.0288186666188504,28.522353335495257,39.322054380129146,Evening,Friday,38.12132999285809,81.19721083979802,12.149516678078117,-4.932743443,1,DC Fast Charger,Casual Driver,Correct,43.07588085
User_80,BMW i3,75,Station_71,Houston,4/1/24 7:00,4/1/24 7:41,59.98647673,3.729365399834844,23.417921150036506,15.683016562744246,Afternoon,Wednesday,88.09676846371462,96.13056859,281.7637403,15.060622448535312,0,Level 1,Commuter,Correct,8.033800128
User_81,Hyundai Kona,48.05069473,Station_3,Los Angeles,4/1/24 8:00,4/1/24 11:05,51.67374779364138,0.6917553642371982,46.59567841482084,18.01181177893121,Afternoon,Saturday,55.07217407784221,62.93578010941694,222.2746666893461,2.5542438030517296,7,Level 2,Casual Driver,Correct,7.863606032
User_83,Hyundai Kona,85,Station_32,Chicago,4/1/24 10:00,4/1/24 13:20,41.60783353260332,0.8070687454194462,25.603799331857445,29.532932865621344,Afternoon,Tuesday,54.997649082294174,97.26161624347915,94.64525016,17.737387789603858,3,Level 1,Commuter,Correct,42.26396716
User_84,Hyundai Kona,62,Station_287,San Francisco,4/1/24 11:00,4/1/24 13:54,32.83295683246542,3.4086383448749484,44.492366139662046,39.67482338466678,Night,Wednesday,26.654722048049937,63.71062691853387,279.8982720475401,5.803389498,1,Level 2,Casual Driver,Correct,37.05590487
User_85,Tesla Model 3,50,Station_82,Houston,4/1/24 12:00,4/1/24 13:09,57.92445004054599,1.261117292569857,12.538161906875358,19.81732290839241,Morning,Friday,49.87203405296153,54.26143302124691,64.13545483676491,1.8254496871976091,1,Level 1,Casual Driver,Correct,4.389398968
User_86,Tesla Model 3,100,Station_43,Chicago,4/1/24 13:00,4/1/24 16:26,21.656164115674237,1.8944268875741128,32.95451081519971,18.02550998683417,Afternoon,Wednesday,78.43462826424621,97.72544036,170.55772537142218,10.401511433472187,3,Level 1,Casual Driver,Correct,19.2908121
User_87,Tesla Model 3,62,Station_391,San Francisco,4/1/24 14:00,4/1/24 15:54,41.01058174547109,3.3669557754635044,45.320109597695435,18.06652173487606,Afternoon,Wednesday,73.62283683904118,83.05427335844938,103.7883061403116,-4.572249344,3,Level 2,Commuter,Correct,9.431436519
User_90,Chevy Bolt,75,Station_61,San Francisco,4/1/24 17:00,4/1/24 18:53,27.84315247164263,2.543139660740745,17.00464384697846,12.278331917423372,Night,Tuesday,47.99218334647701,85.86518688525221,79.35497904,7.516861653406636,7,Level 2,Casual Driver,Correct,37.87300354
User_91,Chevy Bolt,50,Station_270,San Francisco,4/1/24 18:00,4/1/24 21:41,28.440773917754164,1.0796586545757096,42.42512683318396,13.779804175546838,Night,Friday,13.667240803504384,96.34603462,398.3647747436511,27.813135549380647,0,Level 2,Long-Distance Traveler,Correct,82.67879381
User_92,Tesla Model 3,62,Station_180,New York,4/1/24 19:00,4/1/24 22:52,68.57302471319414,2.9303906461796965,5.4546927018545635,15.889414479213295,Evening,Saturday,50.31669101477427,93.89345034552564,191.45599448624304,37.89979105281139,4,Level 1,Commuter,Correct,43.57675933
User_94,Chevy Bolt,75,Station_6,Los Angeles,4/1/24 21:00,4/1/24 23:30,71.61568949106118,3.5150120063589623,31.271844526976924,21.263560509313127,Morning,Friday,51.794505043999976,64.55436324971151,16.681445822961763,-1.719850009,3,Level 2,Casual Driver,Correct,12.75985821
User_95,Tesla Model 3,85,Station_103,San Francisco,4/1/24 22:00,5/1/24 1:51,7.930901450146639,2.3423957855284567,44.12212998806049,33.81843011264206,Evening,Tuesday,42.73907176379696,72.96602310099009,55.67750505100865,16.808358267905795,7,DC Fast Charger,Casual Driver,Correct,30.22695134
User_96,Chevy Bolt,24.599922148424582,Station_10,Chicago,4/1/24 23:00,5/1/24 0:43,42.69140537961698,1.382497912326283,32.43654897645034,38.05802231508733,Night,Tuesday,48.32735368393833,85.06742212,152.25986699080715,23.398468358721537,5,Level 1,Casual Driver,Correct,36.74006843
User_97,Hyundai Kona,75,Station_71,San Francisco,5/1/24 0:00,5/1/24 2:16,55.72920335411825,3.8290118099189465,21.723067323519977,38.093717509092535,Morning,Tuesday,63.40496814289373,68.34785563762274,74.05219273087201,34.663455770884916,0,Level 2,Casual Driver,Correct,4.942887495
User_98,Nissan Leaf,85,Station_90,Los Angeles,5/1/24 1:00,5/1/24 3:33,31.046574961450595,0.6902816245406431,28.004859152178906,6.254545331359625,Night,Saturday,47.15786096,66.19348839519058,152.25986699080715,15.627395920888151,7,DC Fast Charger,Casual Driver,Correct,19.03562744
User_100,Tesla Model 3,100,Station_158,New York,5/1/24 3:00,5/1/24 5:09,50.90348235510272,3.6213171012978576,25.603799331857445,28.33888703339029,Night,Sunday,54.44920445667424,60.55781887703402,10.441929226166076,30.044882883320888,7,DC Fast Charger,Commuter,Correct,6.10861442
User_101,BMW i3,77.29894528855995,Station_228,San Francisco,5/1/24 4:00,5/1/24 7:53,71.47764853216556,0.6525822262740804,25.603799331857445,11.363775646021429,Morning,Sunday,27.575010034358534,53.788025246062965,197.6456759,28.97677092966469,3,DC Fast Charger,Casual Driver,Correct,26.21301521
User_102,Tesla Model 3,100,Station_405,San Francisco,5/1/24 5:00,5/1/24 6:12,74.15366015953305,4.123064395584728,31.277429485665618,26.00015639782484,Morning,Wednesday,12.95698801764483,52.98996709630494,91.38484095029033,35.79315361674979,0,DC Fast Charger,Long-Distance Traveler,Correct,40.03297908
User_106,Hyundai Kona,62,Station_97,San Francisco,5/1/24 9:00,5/1/24 12:35,41.264155052372864,3.6044547433316194,29.081690927779928,29.01626914537352,Night,Sunday,64.41936676135445,73.23718921497326,268.51527775257875,19.63653156666094,6,DC Fast Charger,Long-Distance Traveler,Correct,8.817822454
User_108,BMW i3,147.39535434081623,Station_115,San Francisco,5/1/24 11:00,5/1/24 13:43,65.89318362199285,3.1462506357761653,24.832132237509622,11.037673144471253,Evening,Tuesday,27.38119597524401,64.70149352773214,74.92331106392334,13.419629558552458,6,Level 1,Long-Distance Traveler,Correct,37.32029755
User_109,Chevy Bolt,50,Station_191,San Francisco,5/1/24 12:00,5/1/24 13:34,13.262909019022482,3.0690152270986157,47.67047064050836,32.909305411937936,Afternoon,Thursday,24.998949637776327,90.02000106419143,220.6738557070498,31.873334471117047,3,DC Fast Charger,Commuter,Correct,65.02105143
User_113,Hyundai Kona,100,Station_448,Houston,5/1/24 16:00,5/1/24 18:14,36.13726899530781,2.4493464545125736,36.37707579,7.870917869946003,Night,Sunday,48.61219346503014,95.83119935657344,48.11698069126825,32.30733828974979,1,DC Fast Charger,Casual Driver,Correct,47.21900589
User_114,Chevy Bolt,85,Station_204,Los Angeles,5/1/24 17:00,5/1/24 18:57,29.16952953646135,1.837402025783315,28.504564541418848,9.16414808,Evening,Saturday,64.06837901017158,83.78854260869758,241.99817066158312,42.739661052588374,5,DC Fast Charger,Long-Distance Traveler,Correct,19.7201636
User_116,Hyundai Kona,100,Station_208,New York,5/1/24 19:00,5/1/24 21:34,26.86910961,2.463684938333577,12.051836628241116,17.54159529161413,Morning,Monday,28.17984729471636,54.56240134495012,289.5682377266553,7.791379352167198,3,Level 1,Long-Distance Traveler,Correct,26.38255405
User_117,Nissan Leaf,85,Station_41,Los Angeles,5/1/24 20:00,5/1/24 21:48,17.933479173039434,2.7822095659811867,25.584168415819892,25.49744244234459,Morning,Saturday,29.951321951186408,76.87588684727461,104.39786671394216,38.36358111720883,7,DC Fast Charger,Commuter,Correct,46.9245649
User_118,Chevy Bolt,50,Station_32,Los Angeles,5/1/24 21:00,5/1/24 22:59,60.47162634897462,3.1882589503371697,25.603799331857445,15.885705152555932,Afternoon,Saturday,74.53957947778017,79.36511566,84.37563038980312,32.83617858,2,Level 1,Casual Driver,Correct,4.825536185
User_119,Tesla Model 3,50,Station_15,Chicago,5/1/24 22:00,6/1/24 1:49,17.704737472368393,3.4625715408341557,19.713679937800947,19.91512428981757,Afternoon,Tuesday,47.80623479100282,79.37151434,258.64567065665085,-9.345375215,7,DC Fast Charger,Commuter,Correct,31.56527955
User_120,Nissan Leaf,63.09631665342351,Station_62,Houston,5/1/24 23:00,6/1/24 0:20,47.71409590115245,1.1768393082458872,25.603799331857445,15.35252653215444,Night,Wednesday,49.537602623606446,57.93745966356943,214.4674793692331,34.27808118668334,1,DC Fast Charger,Casual Driver,Correct,8.39985704
User_121,Nissan Leaf,85,Station_155,Los Angeles,6/1/24 0:00,6/1/24 3:25,71.18526462073517,1.4256525513794889,10.299799723961698,5.138664199481509,Morning,Friday,36.884083700047405,73.96777838001219,276.22249249798386,-4.808919737,6,Level 1,Commuter,Correct,37.08369468
User_122,BMW i3,75,Station_284,Los Angeles,6/1/24 1:00,6/1/24 3:11,39.64439031543013,1.9257418407030744,13.798289110981957,6.965265890858126,Afternoon,Wednesday,20.417448539505855,57.50198821454384,152.25986699080715,22.572011579091168,6,Level 2,Casual Driver,Correct,37.08453968
User_124,Chevy Bolt,50,Station_320,Chicago,6/1/24 3:00,6/1/24 5:15,7.515940355911836,3.4168695993661142,10.62138589036472,34.76080833534694,Night,Sunday,61.762801965366975,83.20780147452034,126.5918374849966,9.791242681,6,Level 1,Casual Driver,Correct,21.44499951
User_125,Tesla Model 3,75,Station_494,Houston,6/1/24 4:00,6/1/24 7:42,64.41904928508166,3.1900131034328947,24.621651183384863,28.99874330581624,Evening,Friday,49.17384524132495,62.34186035083323,230.49427175789185,25.32047569840328,2,Level 1,Long-Distance Traveler,Correct,13.16801511
User_126,BMW i3,85,Station_187,New York,6/1/24 5:00,6/1/24 6:29,6.189015903017523,1.2918547116648724,19.715350490851208,20.863113043750012,Afternoon,Friday,34.60022195707441,101.67609865354004,275.7419042,5.7273564896736655,1,Level 1,Casual Driver,Correct,67.0758767
User_129,Hyundai Kona,93.27378066607174,Station_130,Los Angeles,6/1/24 8:00,6/1/24 11:35,15.660564019843829,3.140650163,7.702187849236843,32.136662930622435,Afternoon,Wednesday,30.88322666455972,51.48089291088871,202.14155176693657,29.539063440210768,2,DC Fast Charger,Long-Distance Traveler,Correct,20.59766625
User_131,Chevy Bolt,100,Station_292,Los Angeles,6/1/24 10:00,6/1/24 13:15,47.52745876259207,3.804899638759779,14.328175525274112,31.09859147083224,Afternoon,Tuesday,59.93299647263002,81.18398204407661,139.38372692333525,18.979822937317028,3,Level 2,Commuter,Correct,21.25098557
